,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
1,18.0,8,307.0,130.0,3504,12.0,70,USA,chevrolet chevelle malibu
2,15.0,8,350.0,165.0,3693,11.5,70,USA,buick skylark 320
3,18.0,8,318.0,150.0,3436,11.0,70,USA,plymouth satellite
4,16.0,8,304.0,150.0,3433,12.0,70,USA,amc rebel sst
5,17.0,8,302.0,140.0,3449,10.5,70,USA,ford torino
6,15.0,8,429.0,198.0,4341,10.0,70,USA,ford galaxie 500
7,14.0,8,454.0,220.0,4354,9.0,70,USA,chevrolet impala
8,14.0,8,440.0,215.0,4312,8.5,70,USA,plymouth fury iii
9,14.0,8,455.0,225.0,4425,10.0,70,USA,pontiac catalina
10,15.0,8,390.0,190.0,3850,8.5,70,USA,amc ambassador dpl
11,15.0,8,383.0,170.0,3563,10.0,70,USA,dodge challenger se
12,14.0,8,340.0,160.0,3609,8.0,70,USA,plymouth 'cuda 340
13,15.0,8,400.0,150.0,3761,9.5,70,USA,chevrolet monte carlo
14,14.0,8,455.0,225.0,3086,10.0,70,USA,buick estate wagon (sw)
15,24.0,4,113.0,95.0,2372,15.0,70,Japan,toyota corona mark ii
16,22.0,6,198.0,95.0,2833,15.5,70,USA,plymouth duster
17,18.0,6,199.0,97.0,2774,15.5,70,USA,amc hornet
18,21.0,6,200.0,85.0,2587,16.0,70,USA,ford maverick
19,27.0,4,97.0,88.0,2130,14.5,70,Japan,datsun pl510
20,26.0,4,97.0,46.0,1835,20.5,70,Europe,volkswagen 1131 deluxe sedan
21,25.0,4,110.0,87.0,2672,17.5,70,Europe,peugeot 504
22,24.0,4,107.0,90.0,2430,14.5,70,Europe,audi 100 ls
23,25.0,4,104.0,95.0,2375,17.5,70,Europe,saab 99e
24,26.0,4,121.0,113.0,2234,12.5,70,Europe,bmw 2002
25,21.0,6,199.0,90.0,2648,15.0,70,USA,amc gremlin
26,10.0,8,360.0,215.0,4615,14.0,70,USA,ford f250
27,10.0,8,307.0,200.0,4376,15.0,70,USA,chevy c20
28,11.0,8,318.0,210.0,4382,13.5,70,USA,dodge d200
29,9.0,8,304.0,193.0,4732,18.5,70,USA,hi 1200d
30,27.0,4,97.0,88.0,2130,14.5,71,Japan,datsun pl510
31,28.0,4,140.0,90.0,2264,15.5,71,USA,chevrolet vega 2300
32,25.0,4,113.0,95.0,2228,14.0,71,Japan,toyota corona
33,25.0,4,98.0,,2046,19.0,71,USA,ford pinto
34,19.0,6,232.0,100.0,2634,13.0,71,USA,amc gremlin
35,16.0,6,225.0,105.0,3439,15.5,71,USA,plymouth satellite custom
36,17.0,6,250.0,100.0,3329,15.5,71,USA,chevrolet chevelle malibu
37,19.0,6,250.0,88.0,3302,15.5,71,USA,ford torino 500
38,18.0,6,232.0,100.0,3288,15.5,71,USA,amc matador
39,14.0,8,350.0,165.0,4209,12.0,71,USA,chevrolet impala
40,14.0,8,400.0,175.0,4464,11.5,71,USA,pontiac catalina brougham
41,14.0,8,351.0,153.0,4154,13.5,71,USA,ford galaxie 500
42,14.0,8,318.0,150.0,4096,13.0,71,USA,plymouth fury iii
43,12.0,8,383.0,180.0,4955,11.5,71,USA,dodge monaco (sw)
44,13.0,8,400.0,170.0,4746,12.0,71,USA,ford country squire (sw)
45,13.0,8,400.0,175.0,5140,12.0,71,USA,pontiac safari (sw)
46,18.0,6,258.0,110.0,2962,13.5,71,USA,amc hornet sportabout (sw)
47,22.0,4,140.0,72.0,2408,19.0,71,USA,chevrolet vega (sw)
48,19.0,6,250.0,100.0,3282,15.0,71,USA,pontiac firebird
49,18.0,6,250.0,88.0,3139,14.5,71,USA,ford mustang
50,23.0,4,122.0,86.0,2220,14.0,71,USA,mercury capri 2000
51,28.0,4,116.0,90.0,2123,14.0,71,Europe,opel 1900
52,30.0,4,79.0,70.0,2074,19.5,71,Europe,peugeot 304
53,30.0,4,88.0,76.0,2065,14.5,71,Europe,fiat 124b
54,31.0,4,71.0,65.0,1773,19.0,71,Japan,toyota corolla 1200
55,35.0,4,72.0,69.0,1613,18.0,71,Japan,datsun 1200
56,27.0,4,97.0,60.0,1834,19.0,71,Europe,volkswagen model 111
57,26.0,4,91.0,70.0,1955,20.5,71,USA,plymouth cricket
58,24.0,4,113.0,95.0,2278,15.5,72,Japan,toyota corona hardtop
59,25.0,4,97.5,80.0,2126,17.0,72,USA,dodge colt hardtop
60,23.0,4,97.0,54.0,2254,23.5,72,Europe,volkswagen type 3
61,20.0,4,140.0,90.0,2408,19.5,72,USA,chevrolet vega
62,21.0,4,122.0,86.0,2226,16.5,72,USA,ford pinto runabout
63,13.0,8,350.0,165.0,4274,12.0,72,USA,chevrolet impala
64,14.0,8,400.0,175.0,4385,12.0,72,USA,pontiac catalina
65,15.0,8,318.0,150.0,4135,13.5,72,USA,plymouth fury iii
66,14.0,8,351.0,153.0,4129,13.0,72,USA,ford galaxie 500
67,17.0,8,304.0,150.0,3672,11.5,72,USA,amc ambassador sst
68,11.0,8,429.0,208.0,4633,11.0,72,USA,mercury marquis
69,13.0,8,350.0,155.0,4502,13.5,72,USA,buick lesabre custom
70,12.0,8,350.0,160.0,4456,13.5,72,USA,oldsmobile delta 88 royale
71,13.0,8,400.0,190.0,4422,12.5,72,USA,chrysler newport royal
72,19.0,3,70.0,97.0,2330,13.5,72,Japan,mazda rx2 coupe
73,15.0,8,304.0,150.0,3892,12.5,72,USA,amc matador (sw)
74,13.0,8,307.0,130.0,4098,14.0,72,USA,chevrolet chevelle concours (sw)
75,13.0,8,302.0,140.0,4294,16.0,72,USA,ford gran torino (sw)
76,14.0,8,318.0,150.0,4077,14.0,72,USA,plymouth satellite custom (sw)
77,18.0,4,121.0,112.0,2933,14.5,72,Europe,volvo 145e (sw)
78,22.0,4,121.0,76.0,2511,18.0,72,Europe,volkswagen 411 (sw)
79,21.0,4,120.0,87.0,2979,19.5,72,Europe,peugeot 504 (sw)
80,26.0,4,96.0,69.0,2189,18.0,72,Europe,renault 12 (sw)
81,22.0,4,122.0,86.0,2395,16.0,72,USA,ford pinto (sw)
82,28.0,4,97.0,92.0,2288,17.0,72,Japan,datsun 510 (sw)
83,23.0,4,120.0,97.0,2506,14.5,72,Japan,toyouta corona mark ii (sw)
84,28.0,4,98.0,80.0,2164,15.0,72,USA,dodge colt (sw)
85,27.0,4,97.0,88.0,2100,16.5,72,Japan,toyota corolla 1600 (sw)
86,13.0,8,350.0,175.0,4100,13.0,73,USA,buick century 350
87,14.0,8,304.0,150.0,3672,11.5,73,USA,amc matador
88,13.0,8,350.0,145.0,3988,13.0,73,USA,chevrolet malibu
89,14.0,8,302.0,137.0,4042,14.5,73,USA,ford gran torino
90,15.0,8,318.0,150.0,3777,12.5,73,USA,dodge coronet custom
91,12.0,8,429.0,198.0,4952,11.5,73,USA,mercury marquis brougham
92,13.0,8,400.0,150.0,4464,12.0,73,USA,chevrolet caprice classic
93,13.0,8,351.0,158.0,4363,13.0,73,USA,ford ltd
94,14.0,8,318.0,150.0,4237,14.5,73,USA,plymouth fury gran sedan
95,13.0,8,440.0,215.0,4735,11.0,73,USA,chrysler new yorker brougham
96,12.0,8,455.0,225.0,4951,11.0,73,USA,buick electra 225 custom
97,13.0,8,360.0,175.0,3821,11.0,73,USA,amc ambassador brougham
98,18.0,6,225.0,105.0,3121,16.5,73,USA,plymouth valiant
99,16.0,6,250.0,100.0,3278,18.0,73,USA,chevrolet nova custom
100,18.0,6,232.0,100.0,2945,16.0,73,USA,amc hornet
101,18.0,6,250.0,88.0,3021,16.5,73,USA,ford maverick
102,23.0,6,198.0,95.0,2904,16.0,73,USA,plymouth duster
103,26.0,4,97.0,46.0,1950,21.0,73,Europe,volkswagen super beetle
104,11.0,8,400.0,150.0,4997,14.0,73,USA,chevrolet impala
105,12.0,8,400.0,167.0,4906,12.5,73,USA,ford country
106,13.0,8,360.0,170.0,4654,13.0,73,USA,plymouth custom suburb
107,12.0,8,350.0,180.0,4499,12.5,73,USA,oldsmobile vista cruiser
108,18.0,6,232.0,100.0,2789,15.0,73,USA,amc gremlin
109,20.0,4,97.0,88.0,2279,19.0,73,Japan,toyota carina
110,21.0,4,140.0,72.0,2401,19.5,73,USA,chevrolet vega
111,22.0,4,108.0,94.0,2379,16.5,73,Japan,datsun 610
112,18.0,3,70.0,90.0,2124,13.5,73,Japan,maxda rx3
113,19.0,4,122.0,85.0,2310,18.5,73,USA,ford pinto
114,21.0,6,155.0,107.0,2472,14.0,73,USA,mercury capri v6
115,26.0,4,98.0,90.0,2265,15.5,73,Europe,fiat 124 sport coupe
116,15.0,8,350.0,145.0,4082,13.0,73,USA,chevrolet monte carlo s
117,16.0,8,400.0,230.0,4278,9.5,73,USA,pontiac grand prix
118,29.0,4,68.0,49.0,1867,19.5,73,Europe,fiat 128
119,24.0,4,116.0,75.0,2158,15.5,73,Europe,opel manta
120,20.0,4,114.0,91.0,2582,14.0,73,Europe,audi 100ls
121,19.0,4,121.0,112.0,2868,15.5,73,Europe,volvo 144ea
122,15.0,8,318.0,150.0,3399,11.0,73,USA,dodge dart custom
123,24.0,4,121.0,110.0,2660,14.0,73,Europe,saab 99le
124,20.0,6,156.0,122.0,2807,13.5,73,Japan,toyota mark ii
125,11.0,8,350.0,180.0,3664,11.0,73,USA,oldsmobile omega
126,20.0,6,198.0,95.0,3102,16.5,74,USA,plymouth duster
127,21.0,6,200.0,,2875,17.0,74,USA,ford maverick
128,19.0,6,232.0,100.0,2901,16.0,74,USA,amc hornet
129,15.0,6,250.0,100.0,3336,17.0,74,USA,chevrolet nova
130,31.0,4,79.0,67.0,1950,19.0,74,Japan,datsun b210
131,26.0,4,122.0,80.0,2451,16.5,74,USA,ford pinto
132,32.0,4,71.0,65.0,1836,21.0,74,Japan,toyota corolla 1200
133,25.0,4,140.0,75.0,2542,17.0,74,USA,chevrolet vega
134,16.0,6,250.0,100.0,3781,17.0,74,USA,chevrolet chevelle malibu classic
135,16.0,6,258.0,110.0,3632,18.0,74,USA,amc matador
136,18.0,6,225.0,105.0,3613,16.5,74,USA,plymouth satellite sebring
137,16.0,8,302.0,140.0,4141,14.0,74,USA,ford gran torino
138,13.0,8,350.0,150.0,4699,14.5,74,USA,buick century luxus (sw)
139,14.0,8,318.0,150.0,4457,13.5,74,USA,dodge coronet custom (sw)
140,14.0,8,302.0,140.0,4638,16.0,74,USA,ford gran torino (sw)
141,14.0,8,304.0,150.0,4257,15.5,74,USA,amc matador (sw)
142,29.0,4,98.0,83.0,2219,16.5,74,Europe,audi fox
143,26.0,4,79.0,67.0,1963,15.5,74,Europe,volkswagen dasher
144,26.0,4,97.0,78.0,2300,14.5,74,Europe,opel manta
145,31.0,4,76.0,52.0,1649,16.5,74,Japan,toyota corona
146,32.0,4,83.0,61.0,2003,19.0,74,Japan,datsun 710
147,28.0,4,90.0,75.0,2125,14.5,74,USA,dodge colt
148,24.0,4,90.0,75.0,2108,15.5,74,Europe,fiat 128
149,26.0,4,116.0,75.0,2246,14.0,74,Europe,fiat 124 tc
150,24.0,4,120.0,97.0,2489,15.0,74,Japan,honda civic
151,26.0,4,108.0,93.0,2391,15.5,74,Japan,subaru
152,31.0,4,79.0,67.0,2000,16.0,74,Europe,fiat x1.9
153,19.0,6,225.0,95.0,3264,16.0,75,USA,plymouth valiant custom
154,18.0,6,250.0,105.0,3459,16.0,75,USA,chevrolet nova
155,15.0,6,250.0,72.0,3432,21.0,75,USA,mercury monarch
156,15.0,6,250.0,72.0,3158,19.5,75,USA,ford maverick
157,16.0,8,400.0,170.0,4668,11.5,75,USA,pontiac catalina
158,15.0,8,350.0,145.0,4440,14.0,75,USA,chevrolet bel air
159,16.0,8,318.0,150.0,4498,14.5,75,USA,plymouth grand fury
160,14.0,8,351.0,148.0,4657,13.5,75,USA,ford ltd
161,17.0,6,231.0,110.0,3907,21.0,75,USA,buick century
162,16.0,6,250.0,105.0,3897,18.5,75,USA,chevroelt chevelle malibu
163,15.0,6,258.0,110.0,3730,19.0,75,USA,amc matador
164,18.0,6,225.0,95.0,3785,19.0,75,USA,plymouth fury
165,21.0,6,231.0,110.0,3039,15.0,75,USA,buick skyhawk
166,20.0,8,262.0,110.0,3221,13.5,75,USA,chevrolet monza 2+2
167,13.0,8,302.0,129.0,3169,12.0,75,USA,ford mustang ii
168,29.0,4,97.0,75.0,2171,16.0,75,Japan,toyota corolla
169,23.0,4,140.0,83.0,2639,17.0,75,USA,ford pinto
170,20.0,6,232.0,100.0,2914,16.0,75,USA,amc gremlin
171,23.0,4,140.0,78.0,2592,18.5,75,USA,pontiac astro
172,24.0,4,134.0,96.0,2702,13.5,75,Japan,toyota corona
173,25.0,4,90.0,71.0,2223,16.5,75,Europe,volkswagen dasher
174,24.0,4,119.0,97.0,2545,17.0,75,Japan,datsun 710
175,18.0,6,171.0,97.0,2984,14.5,75,USA,ford pinto
176,29.0,4,90.0,70.0,1937,14.0,75,Europe,volkswagen rabbit
177,19.0,6,232.0,90.0,3211,17.0,75,USA,amc pacer
178,23.0,4,115.0,95.0,2694,15.0,75,Europe,audi 100ls
179,23.0,4,120.0,88.0,2957,17.0,75,Europe,peugeot 504
180,22.0,4,121.0,98.0,2945,14.5,75,Europe,volvo 244dl
181,25.0,4,121.0,115.0,2671,13.5,75,Europe,saab 99le
182,33.0,4,91.0,53.0,1795,17.5,75,Japan,honda civic cvcc
183,28.0,4,107.0,86.0,2464,15.5,76,Europe,fiat 131
184,25.0,4,116.0,81.0,2220,16.9,76,Europe,opel 1900
185,25.0,4,140.0,92.0,2572,14.9,76,USA,capri ii
186,26.0,4,98.0,79.0,2255,17.7,76,USA,dodge colt
187,27.0,4,101.0,83.0,2202,15.3,76,Europe,renault 12tl
188,17.5,8,305.0,140.0,4215,13.0,76,USA,chevrolet chevelle malibu classic
189,16.0,8,318.0,150.0,4190,13.0,76,USA,dodge coronet brougham
190,15.5,8,304.0,120.0,3962,13.9,76,USA,amc matador
191,14.5,8,351.0,152.0,4215,12.8,76,USA,ford gran torino
192,22.0,6,225.0,100.0,3233,15.4,76,USA,plymouth valiant
193,22.0,6,250.0,105.0,3353,14.5,76,USA,chevrolet nova
194,24.0,6,200.0,81.0,3012,17.6,76,USA,ford maverick
195,22.5,6,232.0,90.0,3085,17.6,76,USA,amc hornet
196,29.0,4,85.0,52.0,2035,22.2,76,USA,chevrolet chevette
197,24.5,4,98.0,60.0,2164,22.1,76,USA,chevrolet woody
198,29.0,4,90.0,70.0,1937,14.2,76,Europe,vw rabbit
199,33.0,4,91.0,53.0,1795,17.4,76,Japan,honda civic
200,20.0,6,225.0,100.0,3651,17.7,76,USA,dodge aspen se
